course,University,Difficulty Level,Course Rating,Course URL,description,Skills
Disease Screening in Public Health,University of Geneva,Intermediate,4.2,https://www.coursera.org/learn/screening,"Current and future public health is characterized by the increase of chronic and degenerative diseases, corresponding to the worldwide ageing of the population. The increasing prevalence of these conditions together with the long incubation period of the chronic diseases and the continual technological innovations, offer new opportunities to develop strategies for early diagnosis.  Public Health has an important mandate to critically assess the promises and the pitfalls of disease screening strategies. This MOOC will help you understand important concepts for screening programs that will be explored through a series of examples that are the most relevant to public health today.  We will conclude with expert interviews that explore future topics that will be important for screening.  By the end of this MOOC, students should have the  competency needed to be involved in the scientific field of screening, and understand the public health perspective in screening programs.  This MOOC has been designed by the University of Geneva and the University of Lausanne.  This MOOC has been prepared under the auspices of the Ecole romande de sant� publique (www.ersp.ch) by Prof. Fred Paccaud, MD, MSc, Head of the Institute of Social and Preventive Medicine in Lausanne (www.iumsp.ch), in collaboration with Professor Antoine Flahault, MD, PhD, head of the Institute of Global Health, Geneva (https://www.unige.ch/medecine/isg/en/) and Prof. Gillian Bartlett-Esquilant (McGill University, Quebec/ Institute of Social and Preventive Medicine, Lausanne).",non-communicable disease  public health  psychiatry  mental health  geriatrics  Rehabilitation Services  medicine  disease  cardiovascular disease  Cancer life-sciences public-health
"Raising Capital: Credit Tech, Coin Offerings, and Crowdfunding",University of Michigan,Intermediate,4.6,https://www.coursera.org/learn/credit-tech,"Consider the benefits and challenges of disruptive capital-raising technology.  Advances in technology have both systematized and democratized consumers� and business� access to capital. In this course, you will explore the ways in which technology has transformed access to consumer credit and access to seed capital for business projects.  You will examine disruptive technologies in credit scoring, raising capital through tokenization, and the evolution of crowdfunding for both debt and equity financing.  You will also learn how to differentiate between crypto-based capital-raising models.",modeling  ethereum  credit  Strategy  Benefits  payment systems  reason  capital market  FinTech  Data Analysis business finance
Foundations of Public Health Practice: Behaviour & Behaviour Change,Imperial College London,Advanced,4.8,https://www.coursera.org/learn/behaviour-change-in-public-health,"The Health Protection course is the third instalment of the wider Foundations of Public Health Practice specialisation from Imperial College London's Global Master of Public Health (MPH). The scope and content of this course has been developed from the ground up by a combined team of academics and practitioners drawing on decades of real-world public health experience as well as deep academic knowledge. Through short video lectures, practitioner interviews and a wide range of interactive activities, learners will be immersed in the world of public health practice.  Designed for those new to the discipline, over three modules (intended for three weeks of learning), learners will become familiar with the scope, theory and implementation of behaviour change in the context of public health practice. The course begins by challenging learners about their preconceptions about healthy and unhealthy behaviour - seeking to contextualise these ideas within the broader public health approach (the first course of this specialisation). The course thereafter swiftly covers the origins of risk communication and behaviour change through the lens of health psychology and classical economics, before introducing ideas of bounded rationality and the genesis of behavioural insights and so-called Nudges. By the end of the course, learners will be fluent with their use of the Behaviour Change Wheel methodology of intervention development and the application of the COM-B framework to a range of target behaviours and behavioural barriers.  The subsequent courses of this specialisation will cover health protection before moving into the final (degree learner) course which where learners will focus on developing the core professional skillset that defines public health practitioners - whether in service or academia.",public health  Communication  Behavioral Economics  one health  social cognitive theory  psychologies  physical activity  health belief model  psychology  health psychology life-sciences public-health
Business English for Cross-cultural Communication,The Hong Kong University of Science and Technology,Advanced,4.8,https://www.coursera.org/learn/cross-cultural-communication-business,"This course aims to prepare you for working in an cross-cultural Business setting. We'll learn about common cross-cultural theories and how they are relevant to everyday business practices in a globalised world. By combining all of your vocabulary, reading, speaking, and writing skills that you acquired in the previous three courses, you will learn how language plays an important role in cross-cultural communication. You will also enhance your cross-cultural understanding and will be able to use vocabulary, tone and style, and spoken and written communication skills within a cross-cultural Business context. Skills learned in this course help prepare you to deliver the professional business presentation in the Capstone project.  After completing this course, you will be able to:  - identify possible cross-cultural issues and misunderstandings in communication - apply strategies to overcome possible cross-cultural issues and misunderstandings in communication - produce documents with an appropriate style for business communication purposes within a cross-cultural situation - deliver a speech with an appropriate style for business communication purposes within a cross-cultural situation",Communication  international communication  Business Communication  Culture  cross-cultural communication  ethics  english language  language  global  translation language-learning learning-english
Internet of Things: How did we get here?,University of California San Diego,Advanced,3.7,https://www.coursera.org/learn/internet-of-things-history,"It is hard to imagine life without your Smartphone � you have come to rely on it so much � for your work; to stay in touch with family and friends; to capture and share those special moments; to find your way around in a new neighborhood. Did you ever wonder how and when all this happened? Or how and when GPS sensors came to be in your cell phone?  In this course, we will explore the convergence of multiple disciplines leading to todays� Smartphones.  You will learn about the birth and evolution of Telephony Networks, Broadcast Networks (TV and Radio) and Consumer Electronics.  We will discuss the impact of Internet, (multimedia) content, smartphones and apps on everyday lives. We will then look at how this emerging platform called the Internet of Things � wherein billions and trillions of devices communicating with each other and �the cloud� � could enable unprecedented, innovative products and services.   Take this course if you want to understand what great new advances in mobile-enabled products will be coming our way!  Learning Goals: This course provides a core grounding in how science and technology have developed to enable the Internet of Things � in a way appropriate for any learner.  For those interested in developing further hands-on expertise in designing and developing for the Internet of Things, this course will provide a context to the discoveries and converging technologies that will springboard the next round of innovations.  After completing this course, you will be able to:  1.\tCompare how the telephone system works (that is, peer-to-peer networks) with how media delivery works (that is, broadcast/multicast networks). 2.\tExplain the tradeoffs between circuit switched networks (that is, dedicated resources) and packet switched networks (that is, shared resources). 3.\tTell interesting stories about key innovations that transformed the communications, entertainment and consumer electronics industries. 4.\tExplain how email, YouTube, SMS, etc. work. 5.\tFind resources for those wishing to do more of a �deep-dive� into the above topics.",Electrical Engineering  robotics  electronics  smart device  arduino  signal processing  internet  phone-in  internet of things  history physical-science-and-engineering electrical-engineering
Ecosystem Services: a Method for Sustainable Development,University of Geneva,Intermediate,4.7,https://www.coursera.org/learn/ecosystem-services,"Ecosystem services are a way of thinking about � and evaluating � the goods and services provided by nature that contribute to the well-being of humans.    This MOOC will cover scientific (technical), economic, and socio-political dimensions of the concept through a mix of theory, case-studies, interviews with specialists and a serious-game. By the end of this course, our aim is to enable you to:   �\tdefine the concept of ecosystem services, its principles and limitations �\tunderstand the key services associated with any ressource (e.g., fresh water) through readings and case-studies �\tappreciate the advantages and potential risks of monetising ecosystem services �\tappreciate the social dimensions (power issues, cultural biases) embedded within any method �\tintegrate tactical advice on mainstreaming this approach into policy and standard government practices �\tOptional: learn how to map ecosystem services with GIS tools   The session that runs May 29th- July 10th will be actively monitored by the instructors, and learners will have the opportunity to ask questions.  This course was developed by instructors from the University of Geneva with the help of numerous researchers and input from the Geneva Water Hub and the Natural Capital Project. The course was financed by the University of Geneva, the Global Programme Water Initiatives of the Swiss Agency for Development and Cooperation (SDC), and the Luc Hoffmann Institute.  This MOOC is supported by the Geneva Water Hub and the University of Geneva along with the MOOC in � Water Resources Management and Policy � (www.coursera.org/learn/water-management) and the one in � International Water Law � (www.coursera.org/learn/droit-eau).   We look forward to you joining us!",biodiversity  Environmental Protection  climate change  ecosystem  case study  sustainability  ecosystems  remote sensing  ecosystem services  the economics of ecosystems and biodiversity physical-science-and-engineering environmental-science-and-sustainability
"Teacher SEL: Programs, Possibilities, and Contexts",University of Colorado Boulder,Intermediate,4.7,https://www.coursera.org/learn/teacher-sel-programs,"Social and emotional learning, or SEL, student programs have flourished in schools during the last decade.  Unfortunately inadequate attention has been paid to teachers� social and emotional learning.  In this course the instructors (Randy Testa and Dan Liston) introduce and examine distinct and established�teacher SEL programs, as well as some alternative possibilities.  This course is a part of the 5-course Specialization �The Teacher and Social Emotional Learning (SEL)�. Interested in earning 3 university credits from the University of Colorado-Boulder for this specialization? If so check out ""How you can earn 3 university credits from the University of Colorado-Boulder for this specialization"" reading in the first module of this course for additional information.  We want to note that the courses in this Specialization were designed with a three-credit university course load in mind. As a participant you may notice a bit more reading content and a little less video/lecture content. Completing and passing the SEL Specialization allows the participant to apply for 3 graduate credits toward teacher re-certification and professional enhancement. We want to ensure the quality and high standards of a University of Colorado learning experience.  Interested in earning 3 graduate credits from the University of Colorado-Boulder for The Teacher and Social Emotional Learning (SEL) Specialization?  Check out ""How you can earn 3 university credits from the University of Colorado-Boulder for this specialization"" reading in the first week of this course for more information.",education  parent  Professional Development  faith  experience  emotional well-being  mindfulness  teaching  parenting  Emotional Intelligence social-sciences education
Why Iowa? A Primer on Primaries and Caucuses Teach-Out,University of Michigan,Beginner,4.5,https://www.coursera.org/learn/why-iowa-a-primer-on-primaries-and-caucuses,"The United States presidential election process is a complex one, spanning terms like �Super Tuesday,� delegates and incumbents, primaries and caucuses, and more. Some of the founding principles of this process date back to the creation and signing of the U.S. Constitution, while others began playing a role in the 1980s. In this Teach-Out, experts in Politics, Political Science, and Education at the University of Michigan, the University of Delaware, the University of Iowa, and the Iowa Caucus Project at Drake University will address the following questions:  What is the US primary process?  What are the differences and similarities between primaries vs caucuses? Why do Iowa and New Hampshire get to go first?  What role do delegates play?  What is Super Tuesday?  Is there a difference between political parties in how the primary process functions?  Do incumbent candidates have an advantage?  How do other countries� voting processes differ?  How are US territories are involved?   This Teach-Out is help you find avenues by which you can civically engage and politically participate in your local community, state, and country.",construals  behavior  independence of irrelevant alternatives  macromarketing  election campaigning  voting  participatory politics  power politics  L&D Strategy  resource social-sciences governance-and-society
Oral Communication for Engineering Leaders,Rice University,Advanced,4.5,https://www.coursera.org/learn/oral-communication,"Taught by Rice University communication faculty from the Rice Center for Engineering Leadership (RCEL). This course covers core topics in oral communication: Communication strategy, content, data visualization, and delivery. You�ll learn key principles in �\tCreating a communication strategy �\tDeveloping a clear message and organizing persuasive content �\tCreating strong visual support �\tPresenting data effectively �\tPresenting professionally and confidently �\tHandling formal presentations, giving pitches, speaking extemporaneously, managing online presentations, and lowering          public speaking anxiety  Selected materials courtesy of Communication Faculty at Rice University - all rights reserved.",Engineering Leadership  Communication  presentation  public speaking  leadership  Strategy  strategic communication  audience  elevator pitch  oral communication business leadership-and-management
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Duke University,Intermediate,4.6,https://www.coursera.org/learn/911-attack,"This course will explore the forces that led to the 9/11 attacks and the policies the United States adopted in response. We will examine the phenomenon of modern terrorism, the development of the al Qai'da ideology, and the process by which individuals radicalize towards violence.",terrorism  international relations  law  Causality  history  analysis  islamophobia  violence  counter-terrorism  international law social-sciences governance-and-society
Strategic Innovation: Building and Sustaining Innovative Organizations,University of Illinois at Urbana-Champaign,Advanced,4.8,https://www.coursera.org/learn/strategic-innovation-building-and-sustaining-innovative-organizations,"Innovation strategy is about creating unique value for consumers by delivering a great product that satisfies their needs and capturing value back from consumers.  At the core of a successful innovation strategy is a great product concept. Product is an all-encompassing term that includes physical goods, intangible services, and even ideas. There are three pillars to a successful product strategy: a clear understanding of (a) the target customers (WHO), (b) the specific elements of the product offering (WHAT) that satisfies consumer needs and dovetails with company capabilities, and (c) the tactical plans to reach end consumers (HOW). The value proposition has to be embedded in a coherent business model in order to create and capture value. But well-laid innovation plans can go awry without a consideration of the business ecosystem that includes competitors, collaborators, including suppliers, distributors, and retailers, or the contextual environment in which the company operates. In an interdependent world, fostering an integrated ecosystem is critically important for companies interested in maximizing the odds of innovation success.  Drawing from many years of research, this course will offer a set of frameworks, tools, and concepts in order to develop innovative strategies in a holistic way so as to achieve leadership positions.",innovation management  Innovation  business model canvas  Business Strategy  marketing myopia  Strategy  modeling  value proposition  Leadership and Management  proposition business marketing
"Grow Your Business with Goldman Sachs 10,000 Women",Goldman Sachs,Beginner,4.8,https://www.coursera.org/learn/10k-women-1,"This course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.  In this course, you will consider and reflect on how to best grow your business in future. You will explore potential growth opportunities for your business, and identify the one which is the most progressive and forward-looking, assessing its feasibility.  You will also be introduced to the Business Growth Plan (BGP). If you choose to take all 10 courses, the BGP will be your key takeaway from Goldman Sachs 10,000 Women. This strategic and tactical implementation tool will help you identify your business goals and guide your business�s growth.   The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you � take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your business�s growth.   Find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",process management  online learning  process  Social Media  business plan  Writing  Critical Thinking  Entrepreneurship  Planning  influencer marketing business entrepreneurship
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,Intermediate,4.7,https://www.coursera.org/learn/bootstrap-4,"This course will give you an overview of client-side web UI frameworks, in particular Bootstrap 4. You will learn about grids and responsive design, Bootstrap CSS and JavaScript components. You will learn about CSS preprocessors, Less and Sass. You will also learn the basics of Node.js and NPM and task runners like Grunt and Gulp. At the end of this course, you will be able to a)Set up, design and style a web page using Bootstrap 4 and its components, b) Create a responsive web page design, and c) Make use of web tools to setup and manage web sites. This course also includes an honors track that enables you to work on your own project developing a website using Bootstrap 4. Students enrolling in this course should have prior good working knowledge of HTML, CSS and JavaScript.",less (stylesheet language)  jquery  language  bootstrap (front-end framework)  Javascript  sass (stylesheet language)  web  github  Software As A Service  CSS computer-science mobile-and-web-development
Learn to Code using C# on VS Code,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/learn-code-csharp-vscode,"Welcome to this introduction on fundamental programming concepts and terminology. This project is intended for learners who have never programmed before. You will be exposed to the basic coding structures such as assignment statements, variables, constants, decision making statements, loops, and arrays in C# Console applications. By successfully completing the hands-on practices assigned, you will understand why and when to apply these basic programming concepts and be better prepared for taking other computer programming courses in any language.",microsoft visual studio  data type  sources  display devices  Computer Programming  language classification  c sharp (programming language)  array data structure  arrays  language computer-science software-development
EU policy and implementation: making Europe work!,Universiteit Leiden,Advanced,4.2,https://www.coursera.org/learn/eu-making-europe-work,"People have become more critical of EU policy and often seem to prefer local policy solutions in response to globalisation problems. How do you experience EU policy? Does it help? And if not, how can we change this? In this course, we learn how the European Union prepares and decides on policy, and how policy is transferred to member states and implemented by various authorities, including regional and local governments.  We discuss the challenges of the European multi-level governance structure. We also focus on the main causes of policy failure or success.  On this journey, we focus on actual policy and present the views of various experts: how easy is it to establish yourself in another EU-country? How do governments make sure that the air you breathe is clean? And who is responsible?  You will be able to do research together in your own local setting. Research on implementation in which you can make comparisons between different countries or areas. If you live outside the EU, this is not a problem. We have developed assignments in such a way that you can do research in your area and compare your findings with others.   This MOOC has been rated as one of the best MOOCs of 2017 and is currently in the Top 50 MOOCs of All Time of Class Central  So, are you curious? Please join: 'EU policy and implementation: making Europe work'. Watch our trailer video at https://www.youtube.com/watch?v=n3nSN9R3VR4",Impact Assessment  modeling  Decision Making  specification (technical standard)  Policy Implementation  Game Theory  Regulatory Affairs  decentralization  adaptation  choice social-sciences governance-and-society
Cryptography and Information Theory,University of Colorado System,Intermediate,4.4,https://www.coursera.org/learn/crypto-info-theory,"Welcome to Cryptography and Information Theory!   This course combines cryptography (the techniques for protecting information from unauthorized access) and information theory (the study of information coding and transfer). More specifically, the course studies cryptography from the information-theoretical perspectives and discuss the concepts such as entropy and the attacker knowledge capabilities, e.g., Kerckhoff's Principle. It also contrasts information-theoretic security and computational security to highlight the different train of thoughts that drive the cryptographic algorithmic construction and the security analyses.  This course is a part of the Applied Cryptography specialization.",information leakage  side-channel attack  cryptanalysis  entropy (information theory)  information theory  one-time pad  Cryptography  security  event (probability theory)  security through obscurity computer-science computer-security-and-networks
Mechanics of Materials III: Beam Bending,Georgia Institute of Technology,Advanced,4.8,https://www.coursera.org/learn/beam-bending,"This course explores the analysis and design of beam bending problems. Prerequisite Knowledge: You will need to have successfully completed my earlier course �Mechanics of Materials I:  Fundamentals of Stress and Strain and Axial Loading� in order to be successful in this course  ------------------------------------------------- The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman. By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course. Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation. Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.",stress  Civil Engineering  structural analysis  materials  Carpentry  Mechanical Engineering  beam robotics  Bridge Engineering  mecha  Railroad Engineering physical-science-and-engineering mechanical-engineering
Political Governance and Public Policy in Russia,Saint Petersburg State University,Intermediate,4.6,https://www.coursera.org/learn/political-governance-russia,"The course is designed to study the features of the political structure of modern Russia. It contains both general information on the institutional, procedural and value components of the political system and public policy in Russia, as well as a description of the problems, contradictions and prospects for the political development of the country. The course contains three main modules: (1) the political system and regime in Russia: state institutions, political parties, civil society; (2) the public policy process in Russia: the mechanisms for elaborating, adopting and implementing policies and decisions; (3) directions and problems of economic and social policy in Russia: development based on stabilization. The course is aimed at those listeners who want to gain systematic knowledge of politics in Russia, as well as those who are focused on studying Russia's political development in complex and uncertain contexts. Studying the course students can choose the level of the course (general or in-depth), focusing on video material, information, discussions, forums, evaluations and interactive communication with teachers. The Advanced level of the course development assumes the active participation of students in discussions, forums and project assignments. The overall mission of the course is to develop students' objective political knowledge about Russia and their ability to make critical scientific analysis and assessment.",federal reserve system  Public Policy Development  constitution  Policy Implementation  Public Service  civil society  project  political science  Economics  Russian social-sciences governance-and-society
Economics of Transition and Emerging Markets,National Research University Higher School of Economics,Advanced,4.2,https://www.coursera.org/learn/economics-transition-emerging-markets,"The course analyzes challenges faced by transition and emerging-market economies, i.e., those middle- and low-income countries, which have conducted market-oriented economic reforms and become integrated into the global economy since 1990s.   It starts from a brief history of communist economic system based on central planning in the former Soviet Union and Central and Eastern Europe, its evolution and collapse at the end of 1980s/ early 1990s and subsequent transition to a market system in 1990s and 2000s. Then it analyzes experience of market reforms in China, India, other Asian countries, Middle East and North Africa, Sub-Saharan Africa and Latin America at the same period. Finally, it discusses the problems of contemporary global economy and global and regional economic governance with the special focus given to emerging-market economies and their role. By the end of the course you will be able to analyse emerging-market economies and economies in transition, taking into account their crucial characteristics and historical experience.  Participation in the course does not require any preconditions, however, basic economic knowledge would be an advantage.  In order to pass successfully this course you must score not less than 80% for each of six after module quizzes and complete the peer-assessed essay at the end of the course.  Do you have technical problems? Write to us: coursera@hse.ru",financial crisis  Economic Development  market (economics)  global financial crisis  global financial system  crisis  emerging markets  Economics  economy  Planning social-sciences economics
Medical Applications of Particle Accelerators (NPAP MOOC),Lund University,Beginner,4.6,https://www.coursera.org/learn/medical-applications-particle-accelerators,"Hello and welcome to this course!   The NPAP - Medical Applications of Accelerators is one out of three courses in the Nordic Particle Accelerator Program (NPAP). Here you will be taken on a tour focusing on the medical applications of particle accelerators. You will see that there are two very important, but different, applications of accelerators in hospitals.  The first application concerns radiotherapy of tumours and the other concerns the production of medical nuclides for diagnosis and treatment. Both will be included in this course and described through four modules.   The first module offers the basic principles of radiotherapy from a medical and physics point of view. You there learn about the main components of the machines used for radiotherapy and get to know why radiotherapy is important for cancer treatments.   The second module guides you through the different types of linear accelerators used in the machines for radiotherapy. It also describes the design of the treatment head. The design is important because it is the settings of the treatment head that determines the dose and the radiated region. It is also in the treatment head where the dose given to the patient is measured.   In the third module you are introduced to proton therapy. In this type of therapy protons are first accelerated and then guided down to the tumour by magnets. The machines are considerably larger and more expensive than machines used for radio therapy. The module also offers a description and comparison between different types of accelerators, and explains how the protons interact with tissue.    Also ions that are heavier than protons can be used in cancer therapy. This is described in the fourth module, where we also introduce you to the production of medical nuclides. You learn how the nuclides are produces in proton and ion accelerators and how the nuclides come into play at different places in hospitals. Medical nuclides are for  instance used in Positron Electron Tomography, PET.  Enjoy!",ionizing radiation  medical imaging  radiation therapy  beam robotics  dosing  physics  cyclotron  Cancer  therapy  medical physics life-sciences research
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,Intermediate,4.7,https://www.coursera.org/learn/poetry-workshop,"Why just write poems when you can write better ones? This course is built on the notion that the most exciting writing begins after the first draft. It is specifically for folks who believe that writing poems just to express oneself is like using the Internet just for email. After all, poetry can change the way you and your readers think of the world and its inhabitants; it can break new ground for language; turn a blank sheet of paper into a teeming concert of voices and music.  Though any of us may have the potential to make that happen, having an understanding of how several tools of poetic composition can be used (and audaciously �mis-used�) gives you more ways to try (and if we do this right, we might surprise ourselves most of all).   We'll cover key poetic terms and devices by studying poems by a handful of modern and contemporary poets and then get a chance to try our own hand at writing new poem drafts from a select number of prompts. Throughout the course you will have the opportunity to workshop your poem drafts and get feedback on your work, working towards a more polished poem.",language  Creativity  creative writing  Poetry Writing  thought  Writing  visual effects  music  Human Learning  line wrap and word wrap arts-and-humanities music-and-art
"William Shakespeare's Twelfth Night: Comedy, Conflict, and Community",University of Colorado Boulder,Beginner,4.4,https://www.coursera.org/learn/shakespeare-twelfth-night-comedy-community-applied,"This course introduces and explores William Shakespeare�s classic comedy, Twelfth Night. Interviews with actors who appeared in the Colorado Shakespeare Festival�s 2019 production of Twelfth Night, as well as lectures by scholars and theater professionals who work and teach at the University of Colorado Boulder, offer students insight into Shakespeare�s artistic vision and its applications. Exploring Shakespeare�s language, his characters, his humor and his world view, the lectures, interviews, and interactive learning experiences that make up this class will help students comprehend the power of Shakespearean comedy and the abiding appeal of Twelfth Night for its original audience and our contemporary moment. You'll explore the relationship between comedy and tragedy, the conflict inherent in desire, and the ways Shakespeare's words and works engaged his community, and yours.  This course strives to be of interest to multiple audiences, but we think it may particularly appeal to... * Shakespeare enthusiasts and the Shakespeare curious in all walks of life * Actors, theater practitioners, and teachers of Shakespeare everywhere * Secondary school and college students interested in expanding their studies of Shakespeare * Interested readers with little or no familiarity with Shakespeare",bible  Drama  gena  Comedy  Short Story Writing  history  Cartooning  atila  art  noreen arts-and-humanities history
Mathematical Biostatistics Boot Camp 2,Johns Hopkins University,Advanced,4.4,https://www.coursera.org/learn/biostatistics-2,"Learn fundamental concepts in data analysis and statistical inference, focusing on one and two independent samples.",ordered pair  General Statistics  odds  delta method  exact test  statistical hypothesis testing  Biostatistics  mathematical statistics  odds ratio  booting data-science probability-and-statistics
Exploratory Data Analysis with Seaborn,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/exploratory-data-analysis-seaborn,"Producing visualizations is an important first step in exploring and analyzing real-world data sets. As such, visualization is an indispensable method in any data scientist's toolbox. It is also a powerful tool to identify problems in analyses and for illustrating results.In this project-based course, we will employ the statistical data visualization library, Seaborn, to discover and explore the relationships in the Breast Cancer Wisconsin (Diagnostic) Data Set. We will cover key concepts in exploratory data analysis (EDA) using visualizations to identify and interpret inherent relationships in the data set, produce various chart types including histograms, violin plots, box plots, joint plots, pair grids, and heatmaps, customize plot aesthetics and apply faceting methods to visualize higher dimensional data.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, and scikit-learn pre-installed.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Data Visualization  visualization library  Heat Map  Statistical Graphics  Machine Learning  Python Programming  Data Analysis  analysis  Chart  Exploratory Data Analysis data-science machine-learning
Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,Beginner,4.6,https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans,"In this course, you will: - Learn about GANs and their applications - Understand the intuition behind the fundamental components of GANs - Explore and implement multiple GAN architectures - Build conditional GANs capable of generating examples from determined categories  The DeepLearning.AI Generative Adversarial Networks (GANs) Specialization provides an exciting introduction to image generation with GANs, charting a path from foundational concepts to Advanced techniques through an easy-to-understand approach. It also covers social implications, including bias in ML and the ways to detect it, privacy preservation, and more.  Build a comprehensive knowledge base and gain hands-on experience in GANs. Train your own model using PyTorch, use it to create images, and evaluate a variety of Advanced GANs.   This Specialization provides an accessible pathway for all levels of learners looking to break into the GANs space or apply GANs to their own projects, even without prior familiarity with Advanced math and machine learning research.",modeling  Deep Learning  adversary model  Loss Control  generation  knowledge representation  experience  Generative Model  Training  PyTorch data-science machine-learning
Culminating Project in Health Informatics,Johns Hopkins University,Beginner,4.8,https://www.coursera.org/learn/culminating-project-course-in-health-informatics,"This capstone course in the Health Informatics Specialization will allow learners to create a comprehensive plan for an informatics intervention of their choosing, and that will demonstrate to current or future employers the new skills obtained through the completion of this series of five courses in Health Informatics.",sources  biomedical engineering  translational medicine  health informatics  pharmacy technician  decision support system  analysis  pharmacy  Planning  nursing life-sciences health-informatics
Dermatology: Trip to skin,Novosibirsk State University,Beginner,4.1,https://www.coursera.org/learn/dermatology,"We invite you to the amazing trip to the skin.  You will learn about the structure and functions of your skin, how does it change and interact with the environment. In our course, we will talk about different skin diseases, as well as how to treat them.  This course will be interesting not only for people from the medical field but also for those who are interested in their health and their skin. Let's take a trip to the skin together!",acne  sebaceous gland  skin care  infection  gland  disease  cutaneous larva migrans  dermatology  pregnancy  glands life-sciences public-health
Python and Machine Learning for Asset Management,EDHEC Business School,Advanced,2.6,https://www.coursera.org/learn/python-machine-learning-for-investment-management,"This course will enable you mastering machine-learning approaches in the area of investment management. It has been designed by two thought leaders in their field, Lionel Martellini from EDHEC-Risk Institute and John Mulvey from Princeton University. Starting from the basics, they will help you build practical skills to understand data science so you can make the best portfolio decisions.  The course will start with an introduction to the fundamentals of machine learning, followed by an in-depth discussion of the application of these techniques to portfolio management decisions, including the design of more robust factor models, the construction of portfolios with improved diversification benefits, and the implementation of more efficient risk management models.   We have designed a 3-step learning process: first, we will introduce a meaningful investment problem and see how this problem can be addressed using statistical techniques. Then, we will see how this new insight from Machine learning can complete and improve the relevance of the analysis.  You will have the opportunity to capitalize on videos and recommended readings to level up your financial expertise, and to use the quizzes and Jupiter notebooks to ensure grasp of concept.  At the end of this course, you will master the various machine learning techniques in investment management.",peterson's algorithm  asset allocation  Cross-Validation (Statistics)  Loss Function  economic data  Machine Learning  process  unsupervised learning  Leadership and Management  Portfolio Construction business finance
Digital Transformation,University of Virginia,Intermediate,4.8,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,"Digital transformation is a hot topic--but what exactly is it and what does it mean for companies? In this course, developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global management experts, we talk about digital transformation in two ways. First we discuss the pace of change and the imperative it creates for businesses. Next we provide the context for this transformation and what it takes to win in the digital age. Then we walk through BCG's proprietary framework, which helps you identify key areas to digitize, including strategy, core processes, and technology.  By the end of this course, you'll be able to: --describe the underlying economics of innovation, technology, and market disruptions --weigh the pros and cons of current digital technologies driving advancement --utilize BCG's digital transformation framework as a ""how-to"" for digitizing your organization",strategic thinking  Business Transformation  BlockChain  technology strategy  digital strategy  Leadership and Management  Innovation  Business Strategy  Strategy  thought business leadership-and-management
